ID,BaseValue,LevelIncrease,LevelIncreaseNovice,Min,Max,Floor,Exception,ExceptionLow,ExceptionHigh,ExceptionValue,NormalLevel,Type,OriginID,OutputID,RequireTool,Tools
^v108,,,,,,,,,,,,,,,,
10,1.2,-0.03,-0.01,0.25,100,FALSE,FALSE,0,0,0,5,TOOLDURABILITY,0,0,TRUE,270 274 257 285 278
20,1.2,-0.03,-0.01,0.25,100,FALSE,FALSE,0,0,0,5,TOOLDURABILITY,0,0,TRUE,269 273 256 284 277
30,1.2,-0.03,-0.01,0.25,100,FALSE,FALSE,0,0,0,5,TOOLDURABILITY,0,0,TRUE,271 275 258 286 279
40,1,-0.03,0,0.25,100,FALSE,FALSE,0,0,0,5,PLOWDURABILITY,0,0,TRUE,290 291 292 293 294
41,0.7,0.1,0,0,5,FALSE,FALSE,0,0,0,5,BLOCKDROP,31,295,FALSE,
50,1.0,0.2,0,0,10,FALSE,FALSE,0,0,0,5,BLOCKDROP,103,360,FALSE,
60,0.5,0.1,0,0,100,FALSE,FALSE,0,0,0,5,FISH,0,349,FALSE,
61,1.2,-0.05,-0.01,0.025,100,FALSE,FALSE,0,0,0,5,RODDURABILITY,0,0,TRUE,346
70,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,272,272,FALSE,
71,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,273,273,FALSE,
72,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,274,274,FALSE,
73,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,275,275,FALSE,
74,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,291,291,FALSE,
80,0,0.1,0.05,0,3,FALSE,FALSE,0,0,0,5,SMELT,265,265,FALSE,
81,0,0.1,0.05,0,3,FALSE,FALSE,0,0,0,5,SMELT,266,266,FALSE,
80,0,0.1,0.05,0,3,FALSE,FALSE,0,0,0,5,SMELT,265,1,FALSE,
80,0,0.1,0.05,0,3,FALSE,FALSE,0,0,0,5,SMELT,266,1,FALSE,
90,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,267,267,FALSE,
91,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,256,256,FALSE,
92,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,257,257,FALSE,
93,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,258,258,FALSE,
94,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,292,292,FALSE,
100,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,276,276,FALSE,
101,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,277,277,FALSE,
102,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,278,278,FALSE,
103,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,279,279,FALSE,
104,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,293,293,FALSE,
110,0,0.01,0,0,0.3,FALSE,FALSE,0,0,0,0,DIGTIME,4,0,TRUE,270 274 257 285 278
111,0,0.01,0,0,0.3,FALSE,FALSE,0,0,0,0,DIGTIME,1,0,TRUE,270 274 257 285 278
120,0.8,0.04,-0.02,0,1,FALSE,FALSE,0,0,0,8,BLOCKDROP,4,4,FALSE,270 274 257 285 278
121,0.55,0.1,-0.05,0,100,FALSE,FALSE,0,0,0,7,BLOCKDROP,1,4,FALSE,270 274 257 285 278
130,0.7,0.06,0,0,3,FALSE,FALSE,0,0,0,5,BLOCKDROP,16,263,FALSE,270 274 257 285 278
131,0.7,0.06,0,0,1,FALSE,TRUE,6,30,0,5,BLOCKDROP,15,15,FALSE,274 257 278
132,0.7,0.06,0,0,3,FALSE,TRUE,0,5,0,0,BLOCKDROP,15,265,FALSE,274 257 278
140,0.7,0.06,0,0,1,FALSE,TRUE,5,30,0,4,BLOCKDROP,14,14,FALSE,257 278
141,0.7,0.08,0,0,4,FALSE,TRUE,0,4,0,0,BLOCKDROP,14,266,FALSE,257 278
142,1,0.08,-0.08,0,4,FALSE,FALSE,0,5,1,3,BLOCKDROP,56,264,FALSE,257 278
143,3,0.25,0,0,15,FALSE,FALSE,0,0,0,5,BLOCKDROP,73,331,FALSE,257 278
144,3,0.25,0,0,15,FALSE,FALSE,0,0,0,5,BLOCKDROP,21,351:04:00,FALSE,257 278
150,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,268,268,FALSE,
151,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,269,269,FALSE,
152,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,270,270,FALSE,
153,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,271,271,FALSE,
154,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,290,290,FALSE,
160,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,283,283,FALSE,
161,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,284,284,FALSE,
162,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,285,285,FALSE,
163,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,286,286,FALSE,
164,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,294,294,FALSE,
210,0,0.01,0,0,0.3,FALSE,FALSE,0,0,0,0,DIGTIME,12,0,TRUE,269 273 256 284 277
211,0.8,0.04,0,0,100,FALSE,FALSE,0,0,0,5,BLOCKDROP,12,12,FALSE,269 273 256 284 277
220,0,0.01,0,0,0.3,FALSE,FALSE,0,0,0,0,DIGTIME,13,0,TRUE,269 273 256 284 277
221,0.94,-0.01,0,0,1,FALSE,FALSE,0,0,0,5,BLOCKDROP,13,13,FALSE,269 273 256 284 277
222,0.06,0.02,-0.01,0,100,FALSE,FALSE,0,0,0,5,BLOCKDROP,13,318,FALSE,269 273 256 284 277
230,0,0.01,0,0,0.3,FALSE,FALSE,0,0,0,0,DIGTIME,3,0,TRUE,269 273 256 284 277
231,0.5,0.05,0,0,100,FALSE,FALSE,0,0,0,10,BLOCKDROP,3,3,FALSE,269 273 256 284 277
232,0,0.01,0,0,0.3,FALSE,FALSE,0,0,0,5,DIGTIME,2,0,TRUE,269 273 256 284 277
233,0.5,0.05,0,0,100,FALSE,FALSE,0,0,0,10,BLOCKDROP,2,3,FALSE,269 273 256 284 277
310,0,0.01,0,0,0.3,FALSE,FALSE,0,0,0,5,DIGTIME,17,0,FALSE,271 275 258 286 279
311,1,0.03,-0.03,0,100,FALSE,FALSE,0,0,0,5,BLOCKDROP,17,17,FALSE,271 275 258 286 279
312,0,0.01,0,0,0.3,FALSE,FALSE,0,0,0,0,DIGTIME,18,0,FALSE,
320,3.3,0.14,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,5,5,FALSE,
321,3.5,0.1,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,280,280,FALSE,
410,0.25,0.05,0,0,100,FALSE,FALSE,0,0,0,5,BLOCKDROP,59,295,FALSE,
411,0.2,0.2,0,0,100,FALSE,FALSE,0,0,0,30,BLOCKDROP,59,296,FALSE,
420,0.7,0.06,0,0,100,FALSE,FALSE,0,0,0,5,BLOCKDROP,81,81,FALSE,
421,0.7,0.06,0,0,100,FALSE,FALSE,0,0,0,5,BLOCKDROP,338,338,FALSE,
510,3.5,0.1,0,0,6,FALSE,FALSE,0,0,0,5,CRAFT,67,67,FALSE,
511,2.4,0.13,0,0,6,FALSE,FALSE,0,0,0,5,CRAFT,44:03:00,44:03:00,FALSE,
512,2.4,0.13,0,0,6,FALSE,FALSE,0,0,0,5,CRAFT,44:00:00,44:00:00,FALSE,
520,0,0.1,0,0,1,FALSE,FALSE,0,0,0,0,BLOCKDROP,20,20,FALSE,
530,1,0.2,0,0,3,TRUE,FALSE,0,0,0,5,CRAFT,65,65,FALSE,
531,1.5,0.1,0,0,4,TRUE,FALSE,0,0,0,5,CRAFT,85,85,FALSE,
532,3.5,0.1,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,53,53,FALSE,
533,1,0.06,0.06,0,3,TRUE,FALSE,0,0,0,5,CRAFT,324,324,FALSE,
534,1,0.06,0.06,0,3,TRUE,FALSE,0,0,0,5,CRAFT,323,323,FALSE,
535,2.4,0.13,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,44:02:00,44:02:00,FALSE,
610,1.5,0.1,0,0,5,TRUE,FALSE,0,0,0,0,CRAFT,340,340,FALSE,
620,1.5,0.1,0,0,5,TRUE,FALSE,0,0,0,0,CRAFT,45,45,FALSE,
630,1,0.02,0,0,4,TRUE,FALSE,0,0,0,0,CRAFT,46,46,FALSE,
631,1.25,-0.05,0,0.25,2,FALSE,FALSE,0,0,0,5,EXPLOSIONDAMAGE,0,0,FALSE,
640,1.2,-0.04,0,0.25,2,FALSE,FALSE,0,0,0,5,TOOLDURABILITY,0,0,TRUE,259
641,1.25,-0.05,0,0.25,2,FALSE,FALSE,0,0,0,5,FIREDAMAGE,0,0,FALSE,
650,13.5,0.5,0,12,40,TRUE,FALSE,0,0,0,5,CRAFT,66,66,FALSE,
651,3.9,0.5,-0.1,12,40,TRUE,FALSE,0,0,0,5,CRAFT,27,27,FALSE,
652,3.9,0.5,-0.1,12,40,TRUE,FALSE,0,0,0,5,CRAFT,28,28,FALSE,
660,5,0.1,0,5,10,TRUE,FALSE,0,0,0,30,EAT,320,0,FALSE,
661,1,0.1,0,1,6,TRUE,FALSE,0,0,0,10,EAT,92,0,FALSE,
662,1,0.2,-0.05,0,6,TRUE,FALSE,0,0,0,0,CRAFT,297,297,FALSE,
670,4,0.2,0,4,10,TRUE,FALSE,0,0,0,0,CRAFT,262,262,FALSE,
710,1,0.02,0,0,2,FALSE,FALSE,0,0,0,0,VEHICLEMOVE,333,0,FALSE,
711,3,0.2,0,0,5,FALSE,TRUE,15,30,0,0,VEHICLEDROP,0,5,FALSE,
712,2,-0.2,0,0,2,FALSE,FALSE,0,0,0,0,VEHICLEDROP,0,280,FALSE,
713,0.25,0.05,0,0,1,TRUE,FALSE,0,0,0,0,VEHICLEDROP,0,333,FALSE,
720,1.5,-0.03,-0.07,0.25,2,FALSE,FALSE,0,0,0,5,FALLDAMAGE,0,0,FALSE,
721,0,0.5,0,0,15,TRUE,FALSE,0,0,0,0,FALLTHRESHOLD,0,0,FALSE,
730,2,0.2,0,2,8,TRUE,FALSE,0,0,0,5,EAT,319,0,FALSE,
731,6,0.2,0.1,6,20,TRUE,FALSE,0,0,0,10,EAT,282,0,FALSE,
732,1,0.1,0,1,6,TRUE,FALSE,0,0,0,10,EAT,349,0,FALSE,
740,0.95,0.02,0,0,1.5,FALSE,FALSE,0,0,0,5,BLOCKDROP,37,37,FALSE,
741,0.95,0.02,0,0,1.5,FALSE,FALSE,0,0,0,5,BLOCKDROP,38,38,FALSE,
750,0.02,0.04,0,0,2,FALSE,FALSE,0,0,0,0,BLOCKDROP,52,22,FALSE,
751,0.02,0.04,0,0,2,FALSE,FALSE,0,0,0,0,BLOCKDROP,52,41,FALSE,
752,0.01,0.02,0,0,1,FALSE,FALSE,0,0,0,0,BLOCKDROP,52,57,FALSE,
753,0.02,0.07,0,0,2,FALSE,FALSE,0,0,0,0,BLOCKDROP,52,42,FALSE,
810,1.2,0.15,0.15,0,7,FALSE,FALSE,0,0,0,5,MOBDROP,0,319,TRUE,268 272 267 283 276
811,1.2,0.15,0.15,1,7,FALSE,FALSE,0,0,0,6,MOBDROP,0,334,TRUE,268 272 267 283 276
812,1.25,0.2,0,0,6,FALSE,FALSE,0,0,0,5,MOBDROP,0,35,TRUE,268 272 267 283 276
813,1,0.15,0,0,4,FALSE,FALSE,0,0,0,5,MOBDROP,0,288,TRUE,268 272 267 283 276
820,1,0.15,-0.05,0,5,FALSE,FALSE,0,0,0,5,MOBDROP,0,289,TRUE,268 272 267 283 276
821,1.25,0.2,-0.1,0,8,FALSE,FALSE,0,0,0,5,MOBDROP,0,262,TRUE,268 272 267 283 276
822,1.25,0.2,-0.1,0,8,FALSE,FALSE,0,0,0,5,MOBDROP,0,352,TRUE,268 272 267 283 276
823,1,0.15,-0.05,0,5,FALSE,FALSE,0,0,0,5,MOBDROP,0,287,TRUE,268 272 267 283 276
831,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,CRAFT,298,298,FALSE,
832,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,CRAFT,299,299,FALSE,
833,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,CRAFT,300,300,FALSE,
834,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,CRAFT,301,301,FALSE,
841,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,CRAFT,306,306,FALSE,
842,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,CRAFT,307,307,FALSE,
843,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,CRAFT,308,308,FALSE,
844,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,CRAFT,309,309,FALSE,
850,0,0.2,0,0,6,FALSE,TRUE,0,4,1.5,5,MOBDROP,0,288,TRUE,268 272 267 283 276
851,0,0.2,0,0,8,FALSE,FALSE,0,0,0,5,MOBDROP,0,262,TRUE,268 272 267 283 276
853,2.75,0.13,0.13,2,7,FALSE,FALSE,0,0,0,9,BOWATTACK,0,0,FALSE,
860,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,CRAFT,310,310,FALSE,
861,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,CRAFT,311,311,FALSE,
862,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,CRAFT,312,312,FALSE,
863,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,CRAFT,313,313,FALSE,
864,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,CRAFT,314,314,FALSE,
865,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,CRAFT,315,315,FALSE,
866,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,CRAFT,316,316,FALSE,
867,1,0.07,0,0,3,TRUE,FALSE,0,0,0,5,CRAFT,317,317,FALSE,
870,1.5,-0.03,-0.03,0.25,100,FALSE,FALSE,0,0,0,15,SWORDDURABILITY,0,0,TRUE,268 272 267 283 276
871,0.75,0.05,0,0,100,FALSE,FALSE,0,0,0,5,PVEDAMAGE,0,0,TRUE,268 272 267 283 276
872,0.38,0.03,0,0,100,FALSE,FALSE,0,0,0,25,PVPDAMAGE,0,0,TRUE,268 272 267 283 276
880,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,323,323,FALSE,
890,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,50,50,FALSE,
990,1,0.15,0,0,6,FALSE,FALSE,0,0,0,0,BLOCKDROP,49,49,TRUE,278
